,subj,sess,data duration,annot_count,bite_count,sip_count,seg_count,seg_duration,bcov0,scov0,bcov1,scov1,bcov2,scov2,blank0,blank1,blank2,multi0,multi1,multi2,dupli0,dupli1,dupli3
0,0.0,0.0,23392.875,380.0,320.0,60.0,1586.0,7740.6875,263.0,59.0,326.0,62.0,405.0,74.0,1347.0,1290.0,1224.0,69.0,77.0,94.0,1.0,1.0,2.0
1,1.0,0.0,21589.8125,42.0,32.0,10.0,747.0,10514.1875,14.0,10.0,21.0,10.0,30.0,10.0,725.0,718.0,709.0,2.0,2.0,2.0,0.0,0.0,0.0
2,2.0,0.0,22952.5625,143.0,132.0,11.0,877.0,3769.5,77.0,11.0,139.0,11.0,186.0,12.0,792.0,732.0,698.0,3.0,5.0,17.0,0.0,1.0,1.0
3,2.0,1.0,21210.1875,42.0,33.0,9.0,1230.0,5323.6875,32.0,8.0,34.0,8.0,40.0,10.0,1191.0,1189.0,1185.0,1.0,1.0,5.0,0.0,0.0,0.0
4,3.0,0.0,21956.25,109.0,106.0,3.0,642.0,3736.0625,104.0,2.0,104.0,2.0,119.0,3.0,611.0,611.0,600.0,13.0,13.0,18.0,0.0,0.0,0.0
5,3.0,1.0,21660.875,113.0,94.0,19.0,585.0,2031.0,87.0,13.0,93.0,14.0,107.0,15.0,519.0,512.0,497.0,20.0,20.0,20.0,0.0,0.0,0.0
6,4.0,0.0,21973.6875,188.0,162.0,26.0,551.0,2694.4375,156.0,26.0,173.0,26.0,233.0,26.0,385.0,370.0,343.0,7.0,8.0,40.0,0.0,0.0,0.0
7,4.0,1.0,21648.5625,89.0,60.0,29.0,387.0,887.875,41.0,12.0,51.0,13.0,59.0,15.0,338.0,327.0,317.0,3.0,3.0,3.0,1.0,1.0,1.0
8,5.0,0.0,21246.9375,114.0,99.0,15.0,411.0,1323.875,79.0,15.0,106.0,15.0,113.0,17.0,321.0,294.0,287.0,4.0,4.0,6.0,0.0,0.0,0.0
9,5.0,1.0,22633.5625,101.0,84.0,17.0,475.0,1638.5625,49.0,15.0,69.0,16.0,86.0,17.0,427.0,407.0,390.0,8.0,8.0,9.0,1.0,1.0,1.0
10,6.0,0.0,21345.375,34.0,34.0,0.0,630.0,12591.8125,34.0,0.0,35.0,0.0,40.0,0.0,602.0,601.0,598.0,5.0,5.0,6.0,0.0,0.0,0.0
11,6.0,1.0,21162.9375,84.0,79.0,5.0,987.0,8885.3125,79.0,5.0,79.0,5.0,84.0,5.0,926.0,926.0,921.0,7.0,7.0,7.0,0.0,0.0,0.0
12,7.0,0.0,2519.625,102.0,75.0,27.0,217.0,980.25,68.0,25.0,72.0,26.0,78.0,28.0,162.0,157.0,154.0,12.0,12.0,16.0,1.0,1.0,1.0
13,8.0,0.0,2107.125,115.0,84.0,31.0,249.0,1017.8125,76.0,16.0,87.0,22.0,99.0,31.0,201.0,187.0,166.0,15.0,18.0,18.0,0.0,0.0,0.0
14,9.0,0.0,2189.6875,81.0,69.0,12.0,181.0,523.5,60.0,11.0,63.0,11.0,79.0,13.0,123.0,121.0,110.0,7.0,7.0,13.0,1.0,1.0,1.0
15,10.0,0.0,2111.0,76.0,33.0,43.0,158.0,263.625,22.0,40.0,22.0,43.0,24.0,45.0,96.0,94.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0
16,11.0,0.0,2002.3125,126.0,91.0,35.0,174.0,574.125,81.0,21.0,91.0,26.0,102.0,28.0,92.0,78.0,69.0,10.0,11.0,14.0,0.0,0.0,0.0
17,12.0,0.0,2024.375,151.0,58.0,93.0,170.0,1212.125,56.0,93.0,60.0,95.0,70.0,100.0,112.0,108.0,95.0,15.0,16.0,16.0,0.0,0.0,0.0
18,13.0,0.0,2342.4375,73.0,51.0,22.0,195.0,422.5,50.0,20.0,52.0,22.0,71.0,25.0,133.0,129.0,109.0,6.0,6.0,8.0,0.0,0.0,0.0
19,14.0,0.0,2124.4375,71.0,49.0,22.0,127.0,479.0625,49.0,21.0,49.0,22.0,50.0,22.0,79.0,78.0,77.0,4.0,4.0,4.0,0.0,0.0,0.0
20,15.0,0.0,2038.6875,93.0,63.0,30.0,200.0,920.5625,62.0,30.0,63.0,30.0,71.0,32.0,133.0,132.0,123.0,10.0,10.0,11.0,0.0,0.0,0.0
21,16.0,0.0,2264.5625,89.0,70.0,19.0,204.0,871.3125,63.0,17.0,74.0,20.0,90.0,21.0,148.0,138.0,125.0,12.0,15.0,17.0,0.0,0.0,0.0
22,17.0,0.0,1974.1875,63.0,40.0,23.0,266.0,677.9375,35.0,23.0,44.0,25.0,54.0,30.0,215.0,205.0,192.0,4.0,5.0,7.0,0.0,0.0,0.0
23,18.0,0.0,2092.875,152.0,93.0,59.0,1485.0,1046.625,78.0,36.0,145.0,102.0,211.0,191.0,1441.0,1311.0,1171.0,11.0,12.0,27.0,1.0,1.0,1.0
24,19.0,0.0,2080.1875,148.0,68.0,80.0,137.0,972.9375,64.0,77.0,68.0,77.0,79.0,80.0,76.0,72.0,62.0,19.0,19.0,22.0,1.0,1.0,1.0
25,20.0,0.0,2143.3125,133.0,69.0,64.0,201.0,701.3125,69.0,63.0,70.0,63.0,73.0,70.0,131.0,130.0,121.0,8.0,8.0,9.0,1.0,1.0,1.0
26,21.0,0.0,986.0,63.0,62.0,1.0,215.0,345.75,62.0,1.0,70.0,1.0,90.0,1.0,157.0,151.0,131.0,3.0,4.0,4.0,1.0,1.0,1.0
27,21.0,1.0,494.1875,34.0,24.0,10.0,45.0,86.375,20.0,10.0,20.0,10.0,21.0,11.0,15.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
28,22.0,0.0,1159.0,47.0,35.0,12.0,117.0,282.75,35.0,12.0,35.0,12.0,36.0,14.0,70.0,70.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
29,22.0,1.0,750.0625,55.0,44.0,11.0,80.0,120.0625,42.0,11.0,46.0,11.0,53.0,14.0,27.0,24.0,20.0,0.0,1.0,7.0,0.0,0.0,0.0
30,22.0,2.0,1047.9375,25.0,24.0,1.0,90.0,437.1875,22.0,1.0,25.0,1.0,41.0,4.0,67.0,64.0,46.0,0.0,0.0,1.0,0.0,0.0,1.0
31,22.0,3.0,972.3125,41.0,41.0,0.0,60.0,330.5,41.0,0.0,46.0,0.0,46.0,0.0,23.0,20.0,20.0,4.0,6.0,6.0,0.0,0.0,0.0
32,23.0,0.0,762.0,76.0,75.0,1.0,53.0,582.3125,69.0,1.0,74.0,1.0,89.0,1.0,32.0,28.0,19.0,2.0,3.0,9.0,1.0,1.0,1.0
33,23.0,1.0,481.0,31.0,21.0,10.0,67.0,212.3125,21.0,10.0,21.0,10.0,21.0,14.0,37.0,37.0,36.0,1.0,1.0,4.0,0.0,0.0,0.0
34,24.0,0.0,819.4375,70.0,62.0,8.0,84.0,113.3125,61.0,8.0,61.0,8.0,63.0,8.0,15.0,15.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
35,24.0,1.0,510.25,32.0,27.0,5.0,39.0,64.0625,27.0,4.0,27.0,5.0,27.0,5.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
36,25.0,0.0,907.9375,64.0,57.0,7.0,90.0,109.9375,57.0,7.0,58.0,7.0,62.0,7.0,26.0,25.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0
37,25.0,1.0,449.4375,36.0,34.0,2.0,43.0,52.5625,34.0,2.0,34.0,2.0,35.0,2.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
38,25.0,2.0,279.8125,27.0,24.0,3.0,123.0,113.0,22.0,3.0,26.0,3.0,53.0,3.0,98.0,94.0,70.0,0.0,0.0,3.0,0.0,0.0,0.0
39,25.0,3.0,562.5625,34.0,30.0,4.0,49.0,33.3125,1.0,2.0,15.0,4.0,16.0,5.0,46.0,30.0,29.0,0.0,0.0,1.0,0.0,0.0,1.0
40,26.0,0.0,1114.5,70.0,46.0,24.0,106.0,142.8125,46.0,24.0,47.0,24.0,55.0,26.0,36.0,35.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0
41,26.0,1.0,567.625,57.0,54.0,3.0,99.0,79.875,49.0,0.0,54.0,0.0,66.0,0.0,50.0,45.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0
42,26.0,2.0,518.625,40.0,38.0,2.0,71.0,74.375,38.0,2.0,40.0,2.0,49.0,2.0,31.0,30.0,24.0,0.0,1.0,4.0,0.0,0.0,0.0
43,26.0,3.0,451.4375,34.0,32.0,2.0,67.0,72.5625,32.0,2.0,35.0,2.0,42.0,2.0,33.0,30.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0
44,26.0,4.0,489.25,37.0,20.0,17.0,41.0,70.375,20.0,17.0,20.0,17.0,20.0,17.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
45,27.0,0.0,599.0625,57.0,57.0,0.0,53.0,28.1875,34.0,0.0,52.0,0.0,53.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
